task_form,form_choice,counts
AA1,Aac,74
AA1,Iac,2
AA1,NVC,28
AA2,Aac,4
AA2,Aca,23
AA2,Iac,1
AA2,Ica,5
AA2,NVC,66
AA4,Aac,1
AA4,Iac,1
AA4,NVC,99
AE1,Aac,1
AE1,Eac,17
AE1,Eca,8
AE1,Iac,5
AE1,Ica,8
AE1,NVC,63
AE2,Aca,1
AE2,Eac,1
AE2,Eca,49
AE2,Iac,3
AE2,Ica,26
AE2,NVC,20
AE3,Aca,1
AE3,Eca,5
AE3,Iac,1
AE3,Ica,4
AE3,NVC,88
AE4,Eac,1
AE4,Eca,1
AE4,Iac,1
AE4,Ica,4
AE4,NVC,92
AE4,Oac,1
AI2,Iac,4
AI2,Ica,71
AI2,NVC,28
AI4,Iac,4
AI4,NVC,97
AO3,Iac,1
AO3,Ica,3
AO3,NVC,93
AO3,Oca,2
AO4,Iac,3
AO4,Ica,3
AO4,NVC,88
AO4,Oac,2
EA1,Aac,17
EA1,Aca,1
EA1,Eac,3
EA1,Iac,7
EA1,Ica,3
EA1,NVC,68
EA2,Aac,1
EA2,Aca,13
EA2,Eca,21
EA2,Iac,2
EA2,Ica,28
EA2,NVC,40
EA3,Aac,1
EA3,Aca,1
EA3,Eac,1
EA3,Eca,8
EA3,Iac,1
EA3,Ica,9
EA3,NVC,78
EA4,Aac,1
EA4,Aca,1
EA4,Eca,1
EA4,Iac,5
EA4,Ica,3
EA4,NVC,92
EI1,Iac,17
EI1,Ica,6
EI1,NVC,77
EI2,Iac,4
EI2,Ica,69
EI2,NVC,34
EI3,Iac,1
EI3,Ica,20
EI3,NVC,80
EI4,Iac,6
EI4,Ica,4
EI4,NVC,90
IA1,Aac,14
IA1,Iac,20
IA1,Ica,3
IA1,NVC,56
IA4,Aac,2
IA4,Iac,6
IA4,Ica,6
IA4,NVC,80
IE1,Eac,12
IE1,Eca,8
IE1,Iac,12
IE1,Ica,4
IE1,NVC,65
IE2,Eac,1
IE2,Eca,43
IE2,Iac,1
IE2,Ica,27
IE2,NVC,24
IE3,Eca,10
IE3,Iac,2
IE3,Ica,4
IE3,NVC,89
IE4,Eac,1
IE4,Eca,3
IE4,Iac,3
IE4,Ica,2
IE4,NVC,100
