task_form,succes_x
AA1,0.8365384615384616
AA2,0.47474747474747475
AA3,0.08080808080808081
AA4,0.0
AE1,1.0
AE2,0.0
AE3,0.98989898989899
AE4,0.0
AI1,0.009900990099009901
AI2,0.3786407766990291
AI3,0.018691588785046728
AI4,0.8910891089108911
AO1,0.0
AO2,0.0
AO3,0.9191919191919192
AO4,0.8854166666666666
EA1,0.010101010101010102
EA2,0.9333333333333333
EA3,0.9090909090909091
EA4,0.0
EE1,0.0
EE2,0.0
EE3,0.0
EE4,0.0
EI1,0.6
EI2,0.5514018691588785
EI3,0.19801980198019803
EI4,0.74
EO1,0.0
EO2,0.0
EO3,0.0
EO4,0.0
IA1,0.44086021505376344
IA2,0.1320754716981132
IA3,0.21568627450980393
IA4,0.3617021276595745
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.02857142857142857
II2,0.0
II3,0.0
II4,0.0
IO1,0.00980392156862745
IO2,0.0
IO3,0.0
IO4,0.0
OA1,0.0
OA2,0.056074766355140186
OA3,0.0
OA4,0.07142857142857142
OE1,0.0
OE2,0.019417475728155338
OE3,0.0
OE4,0.0
OI1,0.0
OI2,0.0196078431372549
OI3,0.0
OI4,0.03125
OO1,0.0
OO2,0.0
OO3,0.0
OO4,0.0
