task_form,succes_human
AA1,0.7884615384615384
AA2,0.696969696969697
AA3,0.42424242424242425
AA4,0.3069306930693069
AE1,0.8921568627450981
AE2,0.12
AE3,0.8080808080808081
AE4,0.2
AI1,0.12871287128712872
AI2,0.8058252427184466
AI3,0.34579439252336447
AI4,0.7722772277227723
AO1,0.1188118811881188
AO2,0.1792452830188679
AO3,0.32323232323232326
AO4,0.6041666666666666
EA1,0.050505050505050504
EA2,0.8857142857142857
EA3,0.8484848484848485
EA4,0.10679611650485436
EE1,0.44761904761904764
EE2,0.375
EE3,0.6530612244897959
EE4,0.6132075471698113
EI1,0.21
EI2,0.411214953271028
EI3,0.2871287128712871
EI4,0.26
EO1,0.4485981308411215
EO2,0.32673267326732675
EO3,0.411214953271028
EO4,0.37142857142857144
IA1,0.6989247311827957
IA2,0.09433962264150944
IA3,0.20588235294117646
IA4,0.3617021276595745
IE1,0.36633663366336633
IE2,0.125
IE3,0.2857142857142857
IE4,0.28440366972477066
II1,0.34285714285714286
II2,0.31313131313131315
II3,0.5321100917431193
II4,0.5102040816326531
IO1,0.2647058823529412
IO2,0.3269230769230769
IO3,0.46534653465346537
IO4,0.3763440860215054
OA1,0.16161616161616163
OA2,0.12149532710280374
OA3,0.15789473684210525
OA4,0.10204081632653061
OE1,0.3018867924528302
OE2,0.39805825242718446
OE3,0.31
OE4,0.38461538461538464
OI1,0.0
OI2,0.0
OI3,0.0
OI4,0.0
OO1,0.33
OO2,0.39622641509433965
OO3,0.6138613861386139
OO4,0.6060606060606061
