task_form,succes_simple
AA1,0.5480769230769231
AA2,0.30303030303030304
AA3,0.2727272727272727
AA4,0.1188118811881188
AE1,0.06862745098039216
AE2,0.01
AE3,0.04040404040404041
AE4,0.02
AI1,0.1485148514851485
AI2,0.6019417475728155
AI3,0.2336448598130841
AI4,0.594059405940594
AO1,0.10891089108910891
AO2,0.16981132075471697
AO3,0.10101010101010101
AO4,0.22916666666666666
EA1,0.010101010101010102
EA2,0.009523809523809525
EA3,0.020202020202020204
EA4,0.009708737864077669
EE1,0.13333333333333333
EE2,0.22115384615384615
EE3,0.22448979591836735
EE4,0.11320754716981132
EI1,0.01
EI2,0.037383177570093455
EI3,0.019801980198019802
EI4,0.01
EO1,0.04672897196261682
EO2,0.0891089108910891
EO3,0.16822429906542055
EO4,0.05714285714285714
IA1,0.6451612903225806
IA2,0.07547169811320754
IA3,0.14705882352941177
IA4,0.6063829787234043
IE1,0.009900990099009901
IE2,0.020833333333333332
IE3,0.05714285714285714
IE4,0.027522935779816515
II1,0.0761904761904762
II2,0.030303030303030304
II3,0.03669724770642202
II4,0.05102040816326531
IO1,0.049019607843137254
IO2,0.0673076923076923
IO3,0.12871287128712872
IO4,0.0
OA1,0.04040404040404041
OA2,0.102803738317757
OA3,0.09473684210526316
OA4,0.04081632653061224
OE1,0.02830188679245283
OE2,0.02912621359223301
OE3,0.04
OE4,0.038461538461538464
OI1,0.04716981132075472
OI2,0.049019607843137254
OI3,0.0392156862745098
OI4,0.0625
OO1,0.04
OO2,0.04716981132075472
OO3,0.0594059405940594
OO4,0.020202020202020204
