task_form,succes_simple_0.9999968
AA1,0.6538461538461539
AA2,0.3939393939393939
AA3,0.16161616161616163
AA4,0.1485148514851485
AE1,0.06862745098039216
AE2,0.01
AE3,0.04040404040404041
AE4,0.02
AI1,0.07920792079207921
AI2,0.6990291262135923
AI3,0.102803738317757
AI4,0.6831683168316832
AO1,0.039603960396039604
AO2,0.03773584905660377
AO3,0.13131313131313133
AO4,0.2708333333333333
EA1,0.010101010101010102
EA2,0.009523809523809525
EA3,0.020202020202020204
EA4,0.009708737864077669
EE1,0.047619047619047616
EE2,0.11538461538461539
EE3,0.11224489795918367
EE4,0.07547169811320754
EI1,0.01
EI2,0.037383177570093455
EI3,0.019801980198019802
EI4,0.01
EO1,0.028037383177570093
EO2,0.0297029702970297
EO3,0.06542056074766354
EO4,0.01904761904761905
IA1,0.6774193548387096
IA2,0.018867924528301886
IA3,0.029411764705882353
IA4,0.6276595744680851
IE1,0.009900990099009901
IE2,0.020833333333333332
IE3,0.05714285714285714
IE4,0.027522935779816515
II1,0.0380952380952381
II2,0.010101010101010102
II3,0.01834862385321101
II4,0.01020408163265306
IO1,0.00980392156862745
IO2,0.028846153846153848
IO3,0.04950495049504951
IO4,0.0
OA1,0.020202020202020204
OA2,0.009345794392523364
OA3,0.042105263157894736
OA4,0.0
OE1,0.0
OE2,0.009708737864077669
OE3,0.01
OE4,0.0
OI1,0.0
OI2,0.00980392156862745
OI3,0.0196078431372549
OI4,0.0
OO1,0.01
OO2,0.009433962264150943
OO3,0.019801980198019802
OO4,0.010101010101010102
